Fornecedor1;Fornecedor2;Fornecedor3;Fornecedor4
11.71550105;10.56615483;10.28334624;6.903486029
11.98156908;13.45535856;12.17773217;8.990110322
8.043929165;7.418840456;10.55980776;6.971273449
10.55816044;12.03131356;9.655186531;9.160389621
14.07946306;7.776633218;8.790274845;8.678426355
10.7768675;10.74893904;10.86245666;11.44383167
7.860269512;10.7269804;10.37818381;10.78044122
11.88967173;4.477291372;10.18805153;5.666759985
11.94231429;6.803820358;11.62452005;10.77604071
13.17745445;5.37189215;12.30590475;9.008764936